City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
323,dhidhdhoo,6.8833,73.1,29.35,75,10,6.46,MV,1685205442
324,sao tome,0.3365,6.7273,27.13,82,100,4.73,ST,1685205442
325,ornskoldsvik,63.2909,18.7153,9.53,66,0,6.17,SE,1685205442
326,yambio,4.5721,28.3955,22.73,84,88,1.31,SS,1685205442
327,al jawf,29.5,38.75,29.98,22,100,11.32,SA,1685205443
328,aasiaat,68.7098,-52.8699,-1.8,81,98,10.95,GL,1685205443
329,okhotsk,59.3833,143.3,7.09,58,100,2.68,RU,1685205443
330,taber,49.8167,-112.1518,16.0,88,100,1.54,CA,1685205443
331,uturoa,-16.7333,-151.4333,27.43,74,98,9.84,PF,1685205443
332,ketchikan,55.3422,-131.6461,11.26,62,75,1.54,US,1685205443
333,ilfracombe,51.2093,-4.1134,17.4,67,29,2.02,GB,1685205443
334,hirekerur,14.4667,75.3833,24.63,73,7,4.94,IN,1685205444
335,perevolotskiy,51.8763,54.1938,21.56,41,78,2.53,RU,1685205444
336,portmore,17.9702,-76.8672,31.7,72,40,7.2,JM,1685205444
337,nouadhibou,20.931,-17.0347,25.99,61,0,5.66,MR,1685205444
338,mitu,1.1983,-70.1733,26.04,92,99,0.61,CO,1685205444
339,mar del plata,-38.0023,-57.5575,14.49,55,40,7.2,AR,1685205444
340,portland,45.5234,-122.6762,17.77,74,100,0.89,US,1685205291
341,humaita,-7.5061,-63.0208,34.53,42,80,2.12,BR,1685205445
342,trondheim,63.4305,10.3951,12.03,75,100,2.44,NO,1685205431
343,long beach,33.767,-118.1892,19.43,78,100,4.12,US,1685205269
344,puerto maldonado,-12.6,-69.1833,30.22,66,75,2.06,PE,1685205445
345,thief river falls,48.1191,-96.1812,27.53,25,0,9.77,US,1685205446
346,minab,27.1467,57.0801,31.67,53,0,4.67,IR,1685205446
347,almeirim,-1.5233,-52.5817,29.64,68,79,2.23,BR,1685205446
348,devnya,43.2222,27.5694,18.99,84,91,3.71,BG,1685205446
349,acajutla,13.5928,-89.8275,30.83,59,87,3.01,SV,1685205446
350,codrington,-38.2667,141.9667,11.7,94,100,6.65,AU,1685205446
351,rudnyy,52.9594,63.1206,20.13,35,80,2.86,KZ,1685205447
352,colonia menno,-22.3667,-59.8167,30.58,53,72,4.46,PY,1685205447
353,tual,-5.6667,132.75,27.35,78,77,8.49,ID,1685205447
354,kelibia,36.8476,11.0939,26.14,44,0,3.09,TN,1685205447
355,lethem,3.3803,-59.7968,32.07,56,55,2.98,GY,1685205447
356,vadso,70.0744,29.7487,7.49,42,20,2.57,NO,1685205447
357,kone,-21.0595,164.8658,17.68,73,0,0.77,NC,1685205448
358,yerofey pavlovich,53.9667,121.9667,2.48,88,84,2.46,RU,1685205326
359,villa luvianos,18.9167,-100.4,26.85,43,8,1.7,MX,1685205448
360,knyaze-volkonskoye,48.4642,135.4567,10.19,52,100,2.82,RU,1685205448
361,revda,56.801,59.9303,17.8,63,87,1.96,RU,1685205448
362,tubarjal,30.4999,38.216,31.26,19,100,9.46,SA,1685205448
